,data,godzina,dom,wyjazd,wynik
0,1991-07-27,,Olimpia Poznań,Śląsk Wrocław,1:1
1,1991-07-27,,Legia Warszawa,Hutnik Kraków,0:2
2,1991-07-27,,Zagłębie Sosnowiec,ŁKS Łódź,0:1
3,1991-07-27,,Zawisza Bydgoszcz,Motor Lublin,0:0
4,1991-07-27,,Ruch Chorzów,GKS Katowice,1:1
5,1991-07-27,,Stal Stalowa Wola,FKS Stal Mielec,1:1
6,1991-07-27,,Widzew Łódź,Igloopol Debica,5:0
7,1991-07-27,,Wisła Kraków,Górnik Zabrze,3:3
8,1991-07-27,,Zagłębie Lubin,Lech Poznań,2:4
9,1991-08-03,,Śląsk Wrocław,Lech Poznań,1:2
10,1991-08-03,,Górnik Zabrze,Zagłębie Lubin,2:0
11,1991-08-03,,Igloopol Debica,Wisła Kraków,0:4
12,1991-08-03,,FKS Stal Mielec,Widzew Łódź,0:1
13,1991-08-03,,GKS Katowice,Stal Stalowa Wola,3:0
14,1991-08-03,,Motor Lublin,Ruch Chorzów,2:1
15,1991-08-03,,ŁKS Łódź,Zawisza Bydgoszcz,3:4
16,1991-08-03,,Hutnik Kraków,Zagłębie Sosnowiec,2:1
17,1991-08-03,,Olimpia Poznań,Legia Warszawa,1:1
18,1991-08-10,,Legia Warszawa,Śląsk Wrocław,0:2
19,1991-08-10,,Zagłębie Sosnowiec,Olimpia Poznań,1:3
20,1991-08-10,,Zawisza Bydgoszcz,Hutnik Kraków,3:1
21,1991-08-10,,Ruch Chorzów,ŁKS Łódź,1:0
22,1991-08-10,,Stal Stalowa Wola,Motor Lublin,0:1
23,1991-08-10,,Widzew Łódź,GKS Katowice,2:0
24,1991-08-10,,Wisła Kraków,FKS Stal Mielec,2:0
25,1991-08-10,,Zagłębie Lubin,Igloopol Debica,2:1
26,1991-08-10,,Lech Poznań,Górnik Zabrze,1:1
27,1991-08-17,,Śląsk Wrocław,Górnik Zabrze,1:2
28,1991-08-17,,Igloopol Debica,Lech Poznań,0:4
29,1991-08-17,,FKS Stal Mielec,Zagłębie Lubin,0:1
30,1991-08-17,,GKS Katowice,Wisła Kraków,0:0
31,1991-08-17,,Motor Lublin,Widzew Łódź,1:2
32,1991-08-17,,ŁKS Łódź,Stal Stalowa Wola,0:0
33,1991-08-17,,Hutnik Kraków,Ruch Chorzów,3:3
34,1991-08-17,,Olimpia Poznań,Zawisza Bydgoszcz,1:0
35,1991-08-17,,Legia Warszawa,Zagłębie Sosnowiec,3:0
36,1991-08-24,,Zagłębie Sosnowiec,Śląsk Wrocław,2:0
37,1991-08-24,,Zawisza Bydgoszcz,Legia Warszawa,2:2
38,1991-08-24,,Ruch Chorzów,Olimpia Poznań,2:1
39,1991-08-24,,Stal Stalowa Wola,Hutnik Kraków,1:1
40,1991-08-24,,Widzew Łódź,ŁKS Łódź,1:1
41,1991-08-24,,Wisła Kraków,Motor Lublin,0:0
42,1991-08-24,,Zagłębie Lubin,GKS Katowice,1:1
43,1991-08-24,,Lech Poznań,FKS Stal Mielec,3:0
44,1991-08-24,,Górnik Zabrze,Igloopol Debica,5:1
45,1991-08-28,,Śląsk Wrocław,Igloopol Debica,3:0
46,1991-08-28,,FKS Stal Mielec,Górnik Zabrze,2:0
47,1991-08-28,,GKS Katowice,Lech Poznań,3:1
48,1991-08-28,,Motor Lublin,Zagłębie Lubin,2:0
49,1991-08-28,,ŁKS Łódź,Wisła Kraków,0:0
50,1991-08-28,,Hutnik Kraków,Widzew Łódź,2:0
51,1991-08-28,,Olimpia Poznań,Stal Stalowa Wola,1:1
52,1991-08-28,,Legia Warszawa,Ruch Chorzów,1:1
53,1991-08-28,,Zagłębie Sosnowiec,Zawisza Bydgoszcz,0:0
54,1991-08-31,,Zawisza Bydgoszcz,Śląsk Wrocław,1:3
55,1991-08-31,,Ruch Chorzów,Zagłębie Sosnowiec,2:1
56,1991-08-31,,Stal Stalowa Wola,Legia Warszawa,0:0
57,1991-08-31,,Widzew Łódź,Olimpia Poznań,3:0
58,1991-08-31,,Wisła Kraków,Hutnik Kraków,1:1
59,1991-08-31,,Zagłębie Lubin,ŁKS Łódź,0:0
60,1991-08-31,,Lech Poznań,Motor Lublin,1:0
61,1991-08-31,,Górnik Zabrze,GKS Katowice,2:2
62,1991-08-31,,Igloopol Debica,FKS Stal Mielec,0:0
63,1991-09-07,,Śląsk Wrocław,FKS Stal Mielec,2:0
64,1991-09-07,,GKS Katowice,Igloopol Debica,1:0
65,1991-09-07,,Motor Lublin,Górnik Zabrze,0:0
66,1991-09-07,,ŁKS Łódź,Lech Poznań,1:1
67,1991-09-07,,Hutnik Kraków,Zagłębie Lubin,0:1
68,1991-09-07,,Olimpia Poznań,Wisła Kraków,1:2
69,1991-09-07,,Legia Warszawa,Widzew Łódź,1:0
70,1991-09-07,,Zagłębie Sosnowiec,Stal Stalowa Wola,2:1
71,1991-09-07,,Zawisza Bydgoszcz,Ruch Chorzów,2:2
72,1991-09-14,,Ruch Chorzów,Śląsk Wrocław,0:0
73,1991-09-14,,Stal Stalowa Wola,Zawisza Bydgoszcz,0:0
74,1991-09-14,,Widzew Łódź,Zagłębie Sosnowiec,1:1
75,1991-09-14,,Wisła Kraków,Legia Warszawa,2:2
76,1991-09-14,,Zagłębie Lubin,Olimpia Poznań,2:0
77,1991-09-14,,Lech Poznań,Hutnik Kraków,3:2
78,1991-09-14,,Górnik Zabrze,ŁKS Łódź,2:3
79,1991-09-14,,Igloopol Debica,Motor Lublin,1:0
80,1991-09-14,,FKS Stal Mielec,GKS Katowice,0:0
81,1991-09-21,,Śląsk Wrocław,GKS Katowice,2:1
82,1991-09-21,,Motor Lublin,FKS Stal Mielec,0:1
83,1991-09-21,,ŁKS Łódź,Igloopol Debica,0:0
84,1991-09-21,,Hutnik Kraków,Górnik Zabrze,1:2
85,1991-09-21,,Olimpia Poznań,Lech Poznań,1:2
86,1991-09-21,,Legia Warszawa,Zagłębie Lubin,0:0
87,1991-09-21,,Zagłębie Sosnowiec,Wisła Kraków,1:0
88,1991-09-21,,Zawisza Bydgoszcz,Widzew Łódź,3:0
89,1991-09-21,,Ruch Chorzów,Stal Stalowa Wola,2:0
90,1991-09-28,,Stal Stalowa Wola,Śląsk Wrocław,2:0
91,1991-09-28,,Widzew Łódź,Ruch Chorzów,4:0
92,1991-09-28,,Wisła Kraków,Zawisza Bydgoszcz,2:1
93,1991-09-28,,Zagłębie Lubin,Zagłębie Sosnowiec,2:1
94,1991-09-28,,Lech Poznań,Legia Warszawa,1:0
95,1991-09-28,,Górnik Zabrze,Olimpia Poznań,0:0
96,1991-09-28,,Igloopol Debica,Hutnik Kraków,0:2
97,1991-09-28,,FKS Stal Mielec,ŁKS Łódź,0:0
98,1991-09-28,,GKS Katowice,Motor Lublin,2:2
99,1991-10-05,,Śląsk Wrocław,Motor Lublin,1:3
100,1991-10-05,,ŁKS Łódź,GKS Katowice,0:0
101,1991-10-05,,Hutnik Kraków,FKS Stal Mielec,3:0
102,1991-10-05,,Olimpia Poznań,Igloopol Debica,3:2
103,1991-10-05,,Legia Warszawa,Górnik Zabrze,0:0
104,1991-10-05,,Zagłębie Sosnowiec,Lech Poznań,4:1
105,1991-10-05,,Zawisza Bydgoszcz,Zagłębie Lubin,2:1
106,1991-10-05,,Ruch Chorzów,Wisła Kraków,1:4
107,1991-10-05,,Stal Stalowa Wola,Widzew Łódź,0:0
108,1991-10-19,,Widzew Łódź,Śląsk Wrocław,0:1
109,1991-10-19,,Wisła Kraków,Stal Stalowa Wola,0:0
110,1991-10-19,,Zagłębie Lubin,Ruch Chorzów,1:1
111,1991-10-19,,Lech Poznań,Zawisza Bydgoszcz,2:0
112,1991-10-19,,Górnik Zabrze,Zagłębie Sosnowiec,0:0
113,1991-10-19,,Igloopol Debica,Legia Warszawa,1:0
114,1991-10-19,,FKS Stal Mielec,Olimpia Poznań,1:1
115,1991-10-19,,GKS Katowice,Hutnik Kraków,2:1
